game_id,fga_home,fg3a_home,fta_home,oreb_home,ast_home,blk_home,pts_home,fga_away,fg3a_away,fta_away,oreb_away,ast_away,tov_away,pts_away,season
29900450,89,15,21,17,25,11,90,98,19,14,23,16,22,75,14
42000213,90,31,19,7,12,8,86,94,32,8,7,15,8,83,35
42000161,93,36,8,11,22,7,109,91,40,19,10,29,6,123,35
22001004,89,33,33,11,28,4,122,98,30,28,14,19,7,112,35
29500998,86,11,24,14,30,10,116,96,23,24,19,22,14,121,10
28900302,87,4,22,3,33,8,113,76,8,32,9,28,16,109,4
29100706,89,4,37,17,26,8,99,83,5,22,11,26,16,106,6
20900544,87,31,27,10,22,7,105,81,20,43,12,20,15,101,24
20800045,78,9,21,11,22,5,90,96,20,14,17,15,12,79,23
28600820,83,4,21,11,27,5,98,99,1,19,18,18,14,101,1
29000147,93,15,51,15,32,6,143,97,7,37,18,26,22,119,5
20500331,66,17,21,5,26,6,99,73,18,26,7,20,14,111,20
20100319,93,19,21,12,21,5,93,81,13,35,15,22,17,105,16
28600860,92,7,37,15,33,2,119,95,5,34,14,35,18,120,1
22200812,88,32,24,11,27,4,120,89,41,18,7,38,10,140,37
21400292,79,15,28,9,22,2,96,83,26,14,10,26,11,105,29
20900713,71,16,34,6,21,8,99,91,22,19,14,17,9,82,24
29700727,99,9,42,25,24,6,105,93,23,26,10,24,13,99,12
29500388,106,22,44,37,20,8,103,87,11,32,16,18,24,101,10
29501075,75,8,33,7,24,5,99,80,25,35,16,22,14,95,10
21500456,83,15,21,13,27,5,122,94,25,15,17,24,10,112,30
20200426,72,9,26,12,26,13,98,68,5,29,10,17,21,69,17
29000608,97,11,27,20,23,6,114,77,10,26,5,24,14,109,5
20801198,80,31,21,8,19,9,122,88,28,25,12,19,6,105,23
21600186,89,27,22,13,22,2,111,85,27,26,17,21,17,114,31
28500190,91,3,37,15,25,4,111,94,12,34,14,20,14,102,0
29800044,66,12,33,7,27,3,101,81,12,36,17,14,14,88,13
41400111,82,31,33,15,19,5,113,79,22,22,7,24,14,100,29
20701184,88,11,19,13,20,3,101,76,14,20,11,22,15,90,22
20800641,78,14,32,6,16,1,103,69,25,28,5,17,14,97,23
29900908,70,4,25,5,15,2,91,68,18,30,4,12,19,85,14
29501136,87,18,13,8,33,5,125,73,16,24,12,20,24,79,10
21000769,83,24,28,10,20,3,117,86,22,20,11,18,15,112,25
40400226,97,20,43,11,13,5,126,97,27,30,15,18,15,130,19
20600372,79,11,16,9,25,3,94,81,17,19,11,22,12,111,21
20501176,83,24,16,9,27,3,117,86,16,31,19,13,15,104,20
20400355,75,14,22,10,24,4,92,82,13,24,17,17,15,87,19
29501096,92,5,33,24,19,9,98,83,22,24,8,20,4,91,10
22200287,86,36,14,11,25,3,118,97,44,23,16,19,15,105,37
22000731,80,35,21,4,26,3,94,93,37,25,12,27,10,114,35
20300524,76,17,7,14,20,8,83,80,14,26,18,14,9,72,18
20101039,84,8,11,11,21,4,79,70,12,21,9,16,17,76,16
20300006,108,25,20,21,24,4,88,83,14,19,10,18,25,83,18
20700095,82,11,37,15,29,6,117,78,19,19,10,16,19,93,22
21400100,83,26,12,11,23,2,85,71,27,28,9,20,16,91,29
29000329,102,12,16,21,34,4,122,95,8,25,14,25,21,102,5
29300661,78,7,46,12,16,2,90,91,6,32,20,16,13,81,8
40800232,78,28,40,12,28,3,117,78,23,30,9,23,13,105,23
20501153,61,16,26,6,25,3,85,78,16,16,11,14,13,83,20
