,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_corr_selector__threshold,param_model__C,param_model__penalty,param_model__solver,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision
73,7.859100961685181,1.2397492236492313,0.27966723442077634,0.11544110468371054,0.7,0.1,l2,newton-cg,"{'corr_selector__threshold': 0.7, 'model__C': 0.1, 'model__penalty': 'l2', 'model__solver': 'newton-cg'}",0.8480504587155964,0.8422939068100358,0.8461648745519713,0.8496057347670251,0.8547670250896058,0.8481763999868468,0.0041023202925448725,85,0.8644495412844037,0.8574031890660593,0.8602003642987249,0.8693234476367007,0.869894446994034,0.8642541978559845,0.004917677311153741,100
74,6.880799341201782,1.1576807288371844,0.0,0.0,0.7,0.1,l2,newton-cholesky,"{'corr_selector__threshold': 0.7, 'model__C': 0.1, 'model__penalty': 'l2', 'model__solver': 'newton-cholesky'}",,,,,,,,221,,,,,,,,221
75,8.478570795059204,1.6277303961690512,0.3395377635955811,0.14863188891158544,0.7,0.1,l2,sag,"{'corr_selector__threshold': 0.7, 'model__C': 0.1, 'model__penalty': 'l2', 'model__solver': 'sag'}",0.8479071100917431,0.8422939068100358,0.8461648745519713,0.8496057347670251,0.8547670250896058,0.8481477302620762,0.004103600979416393,91,0.8642513185049301,0.8574031890660593,0.8602003642987249,0.8693234476367007,0.869894446994034,0.8642145533000898,0.004916741633739909,106
76,6.360153102874756,1.2198716769194147,0.0,0.0,0.7,0.1,,lbfgs,"{'corr_selector__threshold': 0.7, 'model__C': 0.1, 'model__penalty': None, 'model__solver': 'lbfgs'}",,,,,,,,222,,,,,,,,222
77,6.7377337455749515,1.4487546879370259,0.0,0.0,0.7,0.1,,newton-cg,"{'corr_selector__threshold': 0.7, 'model__C': 0.1, 'model__penalty': None, 'model__solver': 'newton-cg'}",,,,,,,,223,,,,,,,,223
78,6.940173768997193,1.2340260909106975,0.0,0.0,0.7,0.1,,newton-cholesky,"{'corr_selector__threshold': 0.7, 'model__C': 0.1, 'model__penalty': None, 'model__solver': 'newton-cholesky'}",,,,,,,,224,,,,,,,,224
79,6.879109048843384,0.8828999763296363,0.0,0.0,0.7,0.1,,sag,"{'corr_selector__threshold': 0.7, 'model__C': 0.1, 'model__penalty': None, 'model__solver': 'sag'}",,,,,,,,225,,,,,,,,225
80,7.160006475448609,1.480804685800933,0.3599668502807617,0.11920455140287749,0.7,10,l2,lbfgs,"{'corr_selector__threshold': 0.7, 'model__C': 10, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.8479071100917431,0.8411469534050179,0.8461648745519713,0.8488888888888889,0.854336917562724,0.8476889489000691,0.004261535997683542,105,0.864920744314266,0.8576325411334552,0.8608576642335767,0.8693432350893479,0.8701447943001609,0.8645797958141612,0.004814445323379822,68
81,8.280637884140015,1.1338350733470486,0.35988759994506836,0.1226968344887459,0.7,10,l2,newton-cg,"{'corr_selector__threshold': 0.7, 'model__C': 10, 'model__penalty': 'l2', 'model__solver': 'newton-cg'}",0.8479071100917431,0.8411469534050179,0.8461648745519713,0.8488888888888889,0.854336917562724,0.8476889489000691,0.004261535997683542,105,0.864920744314266,0.8576325411334552,0.8608576642335767,0.8693432350893479,0.8701447943001609,0.8645797958141612,0.004814445323379822,68
82,7.0006767272949215,0.7536164922838515,0.0,0.0,0.7,10,l2,newton-cholesky,"{'corr_selector__threshold': 0.7, 'model__C': 10, 'model__penalty': 'l2', 'model__solver': 'newton-cholesky'}",,,,,,,,226,,,,,,,,226
