fgm_home,fga_home,fg3m_home,fg3a_home,ftm_home,fta_home,oreb_home,dreb_home,reb_home,ast_home,stl_home,blk_home,tov_home,pf_home,pts_home,plus_minus_home,fgm_away,fga_away,fg3m_away,fg3a_away,ftm_away,fta_away,oreb_away,dreb_away,reb_away,ast_away,stl_away,blk_away,tov_away,pf_away,pts_away,play_off,season
37,81,4,22,20,24,13,31,44,19,3,5,9,17,98,8,40,79,4,11,6,10,7,28,35,21,4,3,11,21,90,0,19
35,83,6,18,21,33,15,42,57,19,7,5,17,15,97,5,36,94,10,37,10,13,13,36,49,18,7,6,15,25,92,0,33
36,86,0,2,22,27,13,31,44,23,12,3,16,28,94,-6,39,85,2,9,20,25,16,34,50,23,6,9,17,24,100,0,1
39,73,5,15,21,25,4,28,32,20,10,0,11,20,104,8,34,70,9,24,19,26,5,28,33,21,5,2,13,21,96,0,25
35,80,7,11,31,41,15,19,34,21,8,6,11,23,108,4,43,82,0,6,18,26,15,31,46,19,3,8,15,31,104,0,7
48,90,14,25,9,15,10,40,50,34,8,11,21,25,119,12,38,93,5,21,26,31,9,31,40,25,13,6,14,15,107,0,34
32,75,3,12,19,23,8,31,39,23,2,7,19,23,86,-6,32,83,5,14,23,28,14,31,45,15,9,5,17,20,92,0,22
41,84,11,36,19,22,3,34,37,28,6,9,12,21,112,-7,44,92,12,32,19,20,12,40,52,27,5,4,11,21,119,0,34
34,80,6,20,22,27,9,35,44,22,13,5,16,22,96,-3,37,91,12,33,13,17,12,37,49,23,11,5,19,25,99,0,33
41,70,7,12,12,17,6,19,25,24,6,1,12,22,101,-11,43,75,6,18,20,23,12,23,35,23,5,2,11,15,112,0,24
44,87,2,7,13,16,12,27,39,32,11,8,23,21,103,-21,52,92,4,7,16,21,11,25,36,37,15,4,15,15,124,0,7
38,74,7,19,26,40,10,28,38,26,9,3,18,21,109,9,38,84,3,17,21,25,18,30,48,26,8,1,25,35,100,0,9
47,88,0,2,19,26,13,37,50,27,3,7,16,17,113,3,48,101,0,6,14,17,14,26,40,28,9,6,9,22,110,0,6
37,90,1,9,27,37,18,33,51,20,6,4,15,23,102,-5,39,86,6,13,23,31,13,36,49,23,9,5,18,26,107,0,23
39,99,2,8,14,23,20,34,54,28,5,13,26,22,94,-12,42,93,2,8,20,25,8,38,46,25,19,9,17,25,106,0,5
47,81,5,16,23,30,10,38,48,25,5,8,12,26,122,17,38,93,5,27,24,38,16,27,43,15,9,3,9,28,105,0,22
34,74,0,10,27,36,10,30,40,26,15,7,18,28,95,7,31,70,2,6,24,32,10,30,40,19,12,6,24,31,88,0,15
24,63,6,22,26,33,5,30,35,13,9,1,20,20,80,-8,33,79,9,21,13,16,15,27,42,18,10,8,17,23,88,1,27
36,72,5,22,18,24,3,31,34,22,7,9,13,16,95,8,33,93,9,29,12,15,19,34,53,19,9,1,17,21,87,0,33
33,84,5,11,16,21,17,26,43,17,8,2,16,22,87,-18,41,73,7,20,16,23,7,31,38,30,6,5,17,16,105,0,23
36,79,12,24,10,18,10,32,42,20,7,6,18,29,94,-2,33,79,10,25,20,32,14,26,40,23,11,4,14,21,96,0,18
32,88,3,19,19,22,20,27,47,14,4,4,10,19,86,-7,35,78,4,10,19,20,7,33,40,24,8,8,10,16,93,0,16
46,90,2,10,21,25,14,40,54,31,8,14,20,21,115,24,37,95,0,1,17,30,18,24,42,29,8,6,15,22,91,0,3
48,96,0,4,29,36,20,32,52,33,10,5,14,22,125,15,43,83,2,5,22,29,13,24,37,24,6,4,18,26,110,0,0
35,68,3,16,18,25,6,25,31,25,5,3,21,14,91,-6,40,84,4,9,13,18,11,24,35,31,10,2,13,21,97,0,9
26,77,6,20,14,18,13,33,46,16,5,3,17,28,72,-13,27,72,9,20,22,29,9,32,41,16,10,7,13,21,85,0,13
36,90,5,19,10,15,7,27,34,18,4,6,7,15,87,-17,43,83,8,18,10,15,9,41,50,28,2,4,16,14,104,0,29
44,92,17,47,13,15,7,28,35,33,7,5,12,16,118,2,42,86,13,37,19,21,10,35,45,24,6,4,18,21,116,0,36
38,91,1,12,13,20,12,29,41,20,7,5,10,26,90,-9,32,76,8,19,27,40,19,41,60,16,5,6,15,22,99,0,9
33,73,8,25,29,40,12,29,41,17,11,3,14,17,103,15,33,86,6,23,16,21,19,25,44,16,7,6,15,24,88,0,11
33,78,9,25,17,21,17,27,44,21,5,5,17,24,92,-11,34,75,10,19,25,26,11,25,36,17,9,2,9,18,103,0,19
36,77,3,11,19,31,12,16,28,25,11,2,16,26,94,-11,38,69,2,5,27,32,14,31,45,21,12,5,27,27,105,0,8
40,92,2,6,45,50,21,26,47,21,6,2,14,38,127,2,40,76,3,6,42,53,17,23,40,24,7,4,19,35,125,0,2
31,77,7,22,36,45,13,25,38,23,10,5,11,26,105,10,38,79,2,10,17,24,12,31,43,15,3,5,20,31,95,0,10
40,89,3,10,15,19,11,25,36,20,7,4,9,17,98,-23,47,81,8,16,19,21,9,34,43,35,5,8,14,20,121,0,14
41,70,8,21,34,43,8,39,47,25,2,10,20,21,124,7,44,93,10,18,19,23,6,19,25,26,12,1,9,28,117,0,21
43,83,4,13,24,37,11,24,35,24,12,4,14,27,114,-5,41,81,12,18,25,28,15,26,41,24,6,3,23,27,119,0,24
38,75,8,20,20,24,5,27,32,22,9,5,11,17,104,9,35,77,11,22,14,16,11,26,37,21,4,1,17,19,95,0,32
48,84,2,6,22,31,8,38,46,33,8,9,15,17,120,26,39,97,2,14,14,21,19,27,46,20,10,3,19,25,94,0,3
49,87,9,19,6,9,8,35,43,26,8,10,15,22,113,10,37,89,9,29,20,26,15,31,46,22,12,2,13,14,103,0,28
35,76,2,14,28,39,20,30,50,18,8,2,14,27,100,13,31,75,4,16,21,33,14,22,36,18,10,2,13,27,87,1,18
33,75,7,20,16,30,12,27,39,25,12,3,8,19,89,15,29,71,2,8,14,17,12,32,44,16,3,2,19,22,74,0,18
34,80,9,26,25,36,10,35,45,19,6,10,5,20,102,8,33,90,7,18,21,27,18,39,57,17,5,3,12,23,94,0,26
43,91,9,14,24,30,15,31,46,30,11,9,17,15,119,4,47,90,10,21,11,19,10,28,38,34,11,5,16,25,115,0,20
44,83,1,2,10,13,18,30,48,25,8,5,29,26,99,-13,44,92,4,7,20,27,18,21,39,30,9,3,16,18,112,0,6
51,76,8,18,33,40,9,40,49,33,6,2,21,14,143,36,44,102,7,25,12,15,14,12,26,22,15,2,8,30,107,0,28
24,78,3,14,15,19,11,26,37,14,11,3,16,23,66,-12,27,59,2,5,22,28,6,34,40,20,7,8,22,17,78,0,18
44,82,9,17,29,34,6,36,42,33,11,5,19,25,126,10,46,95,9,15,15,19,13,28,41,27,10,7,16,29,116,0,17
38,91,7,24,20,23,19,30,49,28,7,10,11,24,103,2,36,77,9,27,20,29,12,28,40,19,7,8,15,21,101,1,24
44,90,4,8,20,26,12,29,41,25,8,6,17,13,112,-23,61,106,3,7,10,15,17,34,51,40,15,5,13,20,135,0,8
30,70,4,14,24,31,8,36,44,20,8,4,21,28,88,-4,34,85,6,23,18,26,12,32,44,23,10,7,17,26,92,0,15
36,79,9,14,10,12,9,34,43,20,10,3,18,33,91,12,23,69,4,20,29,39,10,34,44,15,8,5,17,17,79,0,14
39,74,2,8,27,35,9,32,41,17,8,7,26,26,107,-5,40,80,3,14,29,37,9,23,32,20,12,2,15,25,112,0,14
42,103,14,47,11,15,18,32,50,27,9,7,11,25,109,-7,40,76,14,26,22,30,2,38,40,26,9,7,15,18,116,0,36
43,83,0,1,15,19,17,25,42,21,9,12,16,20,101,2,43,87,0,0,13,17,13,24,37,24,5,5,15,16,99,0,1
44,85,0,1,39,57,14,30,44,30,13,6,39,41,127,-15,49,108,1,4,43,54,24,27,51,26,20,7,30,39,142,0,0
45,86,12,23,11,17,8,38,46,33,5,6,16,21,113,14,37,86,6,19,19,23,8,28,36,27,6,2,9,16,99,0,29
45,94,1,4,23,29,16,20,36,27,11,2,15,28,114,-7,48,80,0,2,25,30,10,28,38,24,10,4,21,20,121,0,0
48,85,1,1,14,18,14,32,46,33,9,3,15,21,111,23,35,86,1,6,17,22,18,17,35,21,6,6,17,19,88,0,3
40,82,7,17,15,16,10,32,42,18,5,6,13,22,102,13,33,76,5,18,18,24,10,28,38,20,5,6,12,20,89,0,21
36,86,3,12,13,20,15,33,48,8,7,3,14,22,88,-10,39,88,4,10,16,24,16,29,45,20,6,2,15,21,98,0,16
43,78,6,10,24,32,10,28,38,33,8,6,15,28,116,16,37,81,3,9,23,31,16,25,41,26,7,8,16,27,100,0,10
